Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Hospitality Management,International Business College Manchester,2024,Business and management,Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","International Business College Manchester, 11 Portland St, None, Manchester, M1 3HU, Unknown"
Materials Science Engineering with a Foundation Year,University of Sheffield,2024,"Materials science, Engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Western Bank, , Sheffield, S10 2TN, Unknown"
Architectural Environment Engineering including an Industrial Year,University of Nottingham,2024,"Architectural building studies, Architectural engineering, Environmental engineering, Environment, Energy, Renewable energy, Architecture, Building services, Environmental design, Civil engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University Park Campus, University Park, None, Nottingham, NG7 2RD, Unknown"
Fine Art Practice,MidKent College (Inc Medway School of Arts),2024,"Arts and crafts, Arts, Creative arts, Fine art, Fine Art Photography, Media studies",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Medway School of Arts, The Historic Dockyard, Church Lane, Chatham, ME4 4TE, Unknown"
Journalism,University of Roehampton,2024,Journalism,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Erasmus House, , London, SW15 5PU, Unknown"
Biochemistry,University of Bath,2024,"Biochemistry, Applied biochemistry, Clinical biochemistry, Medical biochemistry, Molecular biochemistry, Cell biology, Molecular biology, Biotechnology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Claverton Down, , Bath, BA2 7AY, Unknown"
Urban Landscape Architecture with Year Zero,Ravensbourne University London,2024,"Interior design, Interior architecture, Built environment, Rehabilitation, Design, Urban development, Urban regeneration, Development planning, Research methods, Creative studies, Arts, Drawing, Retailing, Industrial design, Architectural building studies, Environmental design",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, 6 Penrose Way, None, London, SE10 0EW, Unknown"
Environmental Science,University of Birmingham,2024,"Environmental science, Environment, Environmental chemistry, Climate studies",Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
Fine Art (Top-up),Hull College,2024,"Fine art, Art, Art history, European art, Art theory",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hull School of Art and Design, The Queen's Gardens Centre, , Hull, HU1 3DG, Unknown"
Communications and Linguistics,Nottingham Trent University,2024,"Linguistics, Applied linguistics, Sociolinguistics, English linguistics, Communication studies, Media studies, Social studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","City Campus, Nottingham Trent University, None, Nottingham, NG1 4FQ, Unknown"
Archaeology,Newcastle University,2024,"Archaeology, Archaeological conservation, Archaeological method, History",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Newcastle), King's Gate, None, Newcastle upon Tyne, NE1 7RU, Unknown"
Graphic Design,Leeds Arts University,2024,"Graphic design, Design, Creative arts, Editorial design, Computer graphics, Graphic arts, Graphic communication, Art, Visual arts, Three dimensional design, Display design, Media design, Packaging design, Printmaking, Screen printing, Exhibition design, Design management, Design theory, Brand management, Advertising, Communication studies, Communication design, Mass communication, Visual communication, Desktop publishing, Publishing, Printing, Book production, Typography, Media production, Signwork",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Blenheim Walk, None, Leeds, LS2 9AQ, Unknown"
Medicine,University of St Andrews,2024,"Medicine and surgery, Medicine (general and para-medical)",Full-time,"{'quantity': 6, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","St Andrews yrs 1-3, England yrs 4-6, University Of St Andrews, , St Andrews, KY16 9AX, Unknown"
Music,"Goldsmiths, University of London",2024,"Music, Music theory, Music performance, Music composition",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Goldsmiths, University of London, None, London, SE14 6NW, Unknown"
Anthropology,Durham University,2024,"Anthropology, Social anthropology, Biological anthropology, Human ecology, Human geography, Sociology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Durham City, Palatine Centre, , Durham, DH1 3HP, Unknown"
Sports and Exercise Science (Accelerated),University Academy 92 (UA92),2024,"Sports science, Exercise science, Sports coaching, Sports studies, Sports psychology, Sports therapy",Full-time (intensive),"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","UA92, UA92 Campus, None, Manchester, M16 0PU, Unknown"
Food Science and Nutrition,University of Leeds,2024,"Nutrition, Food science, Food studies, Food",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Woodhouse Lane, None, Leeds, LS2 9JT, Unknown"
Geography,University of Gloucestershire,2024,"Geography, Human geography, Geographical information systems, Geographical methodology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Francis Close Hall - Cheltenham, Swindon Road, , Cheltenham, GL50 4AZ, Unknown"
Fine Art and Art History,Manchester Metropolitan University,2024,"Fine art, Art history",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic Division, All Saints, Manchester, M15 6BH, Unknown"
Software Engineering,Ulster University,2024,Software engineering,Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Belfast, York Street, None, Belfast, BT15 1ED, Unknown"
Biochemistry,Edge Hill University,2024,"Science, Biochemistry, Applied biochemistry, Biology, Chemistry, Applied biology, Botany, Ecology, Environmental studies, Evolutionary biology, Field biology, Genetics, Health and disease, Human biology, Marine biology, Molecular biology, Molecular genetics, Nutrition, Pathology, Cell biology, Physiology, Environmental science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ormskirk (Main Campus), St Helens Road, None, Ormskirk, L39 4QP, Unknown"
Occupational Therapy BSc,"St George's, University of London",2024,"Occupational therapy, Medicine (general and para-medical), Medicine and surgery, Nursing, Speech therapy, Psychology, Counselling, Social work, Community work, Health care, Mental health, Community care",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","St George's, University Of London, Cranmer Terrace, , London, SW17 0RE, Unknown"
Engineering (Electrical and Electronic Engineering),"South Thames College Group (inc Carshalton, South Thames and Kingston College)",2024,"Audio servicing, Chemical process engineering, Circuits, Communication engineering, Computation engineering, Computer aided design, Computer systems engineering, Control engineering, Design technology, Electrical appliance servicing, Electrical engineering, Electrical installation work, Electrical systems, Electromechanical engineering, Electronic engineering, Electronic engineering design, Electronic maintenance, Electronic materials, Electronic measurement, Electronic systems, Electronic systems engineering, Electronics technician studies, Energy engineering, Engineering, Engineering and production, Engineering design, Ergonomics, Industrial design, Industrial electronics, Mechanical engineering design, Microelectronic engineering, Military electronic systems engineering, Mining electrical engineering, Product design, Radio servicing, Structural steel design, Television servicing, Transportation design, Wiring regulations",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Kingston College, Kingston Hall Road, None, Kingston upon Thames, KT2 5AQ, Unknown"
Neuroscience,UCL (University College London),2024,Neurobiology,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , London, WC1E 6BT, Unknown"
Marketing Communications,Bournemouth University,2024,"Humanities, Marketing, Communication studies, Communication design, Business studies, Management, Advertising, Public relations, Digital Media",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Talbot Campus, , Poole, BH12 5BB, Unknown"
Communication and Media and Game Design Studies,University of Liverpool,2024,"Media studies, Communication studies, Media management, Computer games, Computer graphics, Computer applications, Digital Media",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, The Foundation Building, , Liverpool, L69 7ZX, Unknown"
Chemistry,Loughborough University,2024,"Chemistry, Science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Ashby Road, None, Loughborough, LE11 3TU, Unknown"
Biochemistry,University of Birmingham,2024,Biochemistry,Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
Fashion Design,Coleg Sir Gar,2024,"Fashion design, Community arts, Creative arts, Creative studies, Curating, Decorative art, Design history, Design management, Design theory, Digital Art, Display design, Dress patternmaking, Dressmaking, Editorial design, Embroidery, Entrepreneurial studies, Exhibition design, Fashion, Fashion forecasting, Knitting, Knitwear design, Lacemaking, Lingerie design, Management services, Media design, Metal design, Millinery, Organisational studies, Packaging design, Patchwork, Plastics design, Printed textiles, Quality control, Quilting, Social enterprise, Spatial design, Spinning, Sportswear design, Surface pattern design, Tailoring, Textile pattern cutting, Three dimensional design, User centred design, Visual arts, Visualization, Wood design",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Carmarthen School of Art, Jobs Well Road, None, Carmarthen, SA31 3HY, Unknown"
Biomedical Engineering,Swansea University,2024,"Engineering, Medical biochemistry, Biomedical engineering, Biomedical sciences",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Bay Campus, Fabian Way, None, Swansea, SA1 8EN, Unknown"
Music,University of the Highlands and Islands (UHI),2024,"Performing arts, Music, Music composition, Music theory, Musical instrument technology, Musicianship, Music performance, Musicology, Theatre studies, Media studies, Audio-visual studies, Sound recording, Media production, Video production",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Perth, UHI Perth, None, Perth, PH1 2NX, Unknown"
Accounting and Finance,Aberystwyth University,2024,"Accounting, Finance, Business economics, Management accounting, Auditing",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Aberystwyth), Penglais Campus, , Aberystwyth, SY23 3DD, Unknown"
Marine Biology,University of Southampton,2024,Marine biology,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Highfield Campus, Highfield, None, Southampton, SO17 1BJ, Unknown"
Journalism,"Teesside University, Middlesbrough",2024,"Journalism, Fashion, Radio journalism, Broadcast journalism, Sports journalism, Television journalism, Multimedia studies, Media law, Media studies, Media production, Broadcasting, Communication skills, Visual communication",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Teesside University, Borough Road, None, Middlesbrough, TS1 3BX, Unknown"
Journalism,De Montfort University,2024,Journalism,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Leicester Campus, The Gateway, , Leicester, LE1 9BH, Unknown"
Engineering with Renewable Energy,University of York,2024,"Renewable energy, Engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Heslington, None, York, YO10 5DD, Unknown"
Materials Science and Engineering with a Year Abroad,Swansea University,2024,"Engineering, Science, Materials science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Bay Campus, Fabian Way, None, Swansea, SA1 8EN, Unknown"
Criminology,Bishop Grosseteste University,2024,Criminology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Bishop Grosseteste University, , Lincoln, LN1 3DY, Unknown"
Environmental Science,Nottingham Trent University,2024,"Climate studies, Earth sciences, Environmental science, Environmental conservation, Geology, Energy conservation, Science, Environment, Biodiversity, Climate Change, Disaster management, Ecology, Environmental law, Environmental management, Environmental protection, Environmental studies, Environmental sustainability, Geographical information systems, Natural resources, Pollution, Renewable energy, Waste Management, Water management",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Brackenhurst Campus, Nottingham Trent University, , Southwell, NG25 0QF, Unknown"
Engineering,University Centre Weston,2024,"Engineering and production, Engineering, Industrial design, Technology, Technology analysis",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","South West Skills Campus, 393 Locking Road, None, Weston-super-Mare, BS22 8NL, Unknown"
Graphic Design,Arts University Plymouth,2024,"Art, Arts, Signwork, Signwriting, Art history, Art theory, Modern art, Printmaking, Screen printing, Drawing, Graphic arts, Illustration, Technical illustration, Visual arts, Community arts, Creative arts, Design, Three dimensional design, Display design, Exhibition design, Plastics design, Design management, Design theory, Editorial design, Graphic design, Media design, Design history, Packaging design, User centred design, Decorative art, Modelmaking, Communication skills, Communication studies, Business communication, Communication design, Communication policy studies, Mass communication, Technical communication, Visual communication, Media management, Media production, Photography, Commercial Photography, Printing, Book production, Bookbinding, Lithography, Print estimating, Printing office practice, Reprographics, Typography, Graphic communication, Desktop publishing, Publishing",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Tavistock Place, None, Plymouth, PL4 8AT, Unknown"
Mathematics,"City, University of London",2024,Mathematics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, The Admissions Office, , London, EC1V 0HB, Unknown"
Civil Engineering,University of East London,2024,"Construction, Science, Civil engineering, Construction engineering, Municipal engineering, Public health engineering, Transport engineering, Water engineering, Construction technology, Structural engineering, Surveying",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Docklands Campus, University Way, , London, E16 2RD, Unknown"
Psychology,Edinburgh Napier University,2024,Psychology,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Sighthill, Sighthill Campus, , Edinburgh, EH11 4DE, Unknown"
Architecture,University of Wolverhampton,2024,"Architecture, Architectural building studies, Architectural conservation, Architectural history, Architectural management, Architectural practice, Building, Building estimating, Building management, Construction, Construction management, Design, Design management, Design theory, Digital Art, Interior architecture, Material culture, Property",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Wolverhampton, Admissions Unit, , Wolverhampton, WV1 1AD, Unknown"
Climate Science,Durham University,2024,"Climate Change, Climate studies, Environmental conservation, Environmental studies, Environmental science, Geochemistry, Physical geography, Earth sciences",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Durham City, Palatine Centre, , Durham, DH1 3HP, Unknown"
Veterinary Science: Accelerated Graduate Entry,University of Bristol,2024,Veterinary medicine,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Beacon House, , Bristol, BS8 1QU, Unknown"
Engineering,University of Exeter,2024,Engineering,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Exeter - Exeter campuses, Northcote House, Exeter, Devon, EX4 4QJ, Unknown"
International Business,University of Huddersfield,2024,"International business studies, Business studies, Management, Strategic management, Investment, International studies, Business communication, Business consultancy, Global Development",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Queensgate, None, Huddersfield, HD1 3DH, Unknown"
Biological Science (Wildlife Health Science) with Placement Year,"Royal Veterinary College, University of London",2024,"Wildlife management, Zoology, Applied zoology, Animal biology, Biological sciences",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","main site, Royal College Street, , London, NW1 0TU, Unknown"
Engineering,Edge Hill University,2024,"Computer science, Computer studies, Computer aided engineering, Computer programming, Engineering, Electrical engineering, Audio servicing, Electrical appliance servicing, Electrical installation work, Electrical systems, Electromechanical engineering, Mining electrical engineering, Electronic engineering, Engineering and production, Computer engineering, Engineering management, Engineering mathematics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ormskirk (Main Campus), St Helens Road, None, Ormskirk, L39 4QP, Unknown"
Civil Engineering,The University of Edinburgh,2024,"Civil engineering, Structural engineering, Environmental engineering, Geotechnical engineering, Engineering design, Water engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
English and Film Studies,University of St Andrews,2024,"English, Film studies, English literature",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, 16 St Katharine's West, None, St Andrews, KY16 9AX, Unknown"
Mathematics with Statistics,University of Surrey,2024,"Mathematics, Statistics, Pure mathematics, Applied mathematics, Mathematical statistics",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Stag Hill, Stag Hill, None, Guildford, GU2 7XH, Unknown"
Film and Journalism,University of Essex,2024,Journalism,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Colchester Campus, University of Essex, , Colchester, CO4 3SQ, Unknown"
Media Studies,University of Hull,2024,"Media studies, Film studies, Film production, Filmmaking, Media production, Screenwriting",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The University of Hull, Cottingham Road, None, Hull, HU6 7RX, Unknown"
Ecology and Wildlife Conservation,Bournemouth University,2024,"Ecology, Wildlife management, Physical geography, Behavioural ecology, Evolutionary biology, Field biology, Animal biology, Environmental science, Marine geography, Environmental protection, Microbiology, Oceanography, Climate studies, Environmental conservation, Environmental law, Epidemiology",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Talbot Campus, , Poole, BH12 5BB, Unknown"
Outdoor Adventure and Environmental Studies,University of Cumbria,2024,"Outdoor education, Outdoor pursuits, Ecology, Environment, Geography, Health and fitness therapy, Exercise and fitness, Environmental studies, Environmental health, Environmental sustainability",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ambleside, Rydal Road, , Ambleside, LA22 9BB, Unknown"
PGDE Secondary Teaching (English Medium) Music,University of the Highlands and Islands (UHI),2024,"Music (secondary teaching), Learning, Teacher education, Child development, Key skills, Music",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Inverness, UHI Inverness, , Inverness, IV2 5NA, Unknown"
"Earth, Climate and Environmental Change","Royal Holloway, University of London",2024,"Climate Change, Climate studies, Earth sciences, Environment, Environmental science, Environmental studies, Geology, Metrology, Soil science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Royal Holloway, University Of London, , Egham, TW20 0EX, Unknown"
Engineering,University College Birmingham,2024,"Engineering and production, Engineering design, Engineering mathematics, Environmental sustainability, Manufacturing automation, Manufacturing engineering, Manufacturing systems, Mechanical engineering, Project management, Science",Part-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University College Birmingham, Summer Row, None, Birmingham, B3 1JB, Unknown"
Anthropology and History,University of Aberdeen,2024,"Anthropology, History, Social sciences, Humanities",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Office, King's College, Aberdeen, AB24 3FX, Unknown"
Geography,University of the Highlands and Islands (UHI),2024,"Geography, Physical geography, Human geography, Humanities, Climate Change, Planning, Global Development, Energy, Environmental studies, Rural resources management, Tourism, Agriculture, Land management, Housing, Economics, Renewable energy",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Argyll, UHI Argyll, , Oban, PA34 4RY, Unknown"
Secondary Mathematics Education with QTS,Edge Hill University,2024,"Teaching, Teaching (secondary teaching), Mathematics (secondary teaching), Mathematics, Mathematical logic, Mathematical methods, Algebra, Probability, Statistics, Applied mathematics, Numeracy, Mathematical models, Pure mathematics, Mathematical statistics, Numerical analysis, Curriculum studies, Economics (secondary teaching), Education, Educational studies, Pastoral care, Pastoral studies, Teacher education, Training",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ormskirk (Main Campus), St Helens Road, None, Ormskirk, L39 4QP, Unknown"
Software Engineering,Cardiff Metropolitan University,2024,"Software, Multimedia studies, Design technology, Computer programming, Computer installation, Business computing, Information technology, Business information technology, Computer applications, Computer engineering, Computers, Computer science, Computer communication, Computer languages, Computer graphics, Digital imaging, Internet technology, Web design, Computer studies, Applied computer studies, Computer management studies, Software engineering, Information systems, Computer information systems, Operating systems, Database design, Object oriented programming, Systems, Engineering",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Cardiff Met - Llandaff, Cardiff Metropolitan University, , Cardiff, CF5 2YB, Unknown"
Psychology,University of Cumbria,2024,"Scientific research methods, Human psychology, Applied psychology, Behavioural psychology, Psychopathology, Developmental psychology, Psychology, Social psychology, Social sciences, Applied social sciences, Cognition",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Carlisle - Fusehill Street, Fusehill Street, None, Carlisle, CA1 2HH, Unknown"
Software Engineering,University of Brighton,2024,"Software engineering, Computer engineering, Computer studies, Computer programming, Business information technology, Business computing, Data-processing management, Computer applications, Computers, Computer science, Artificial intelligence, Neural networks, Computer communication, Computer networking, Computer simulation, Statistical computing",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Brighton, Mithras House, , Brighton, BN2 4AT, Unknown"
Film Studies,De Montfort University,2024,Film studies,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Leicester Campus, The Gateway, , Leicester, LE1 9BH, Unknown"
Software Engineering,Canterbury Christ Church University,2024,Software engineering,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, North Holmes Road, None, Canterbury, CT1 1QU, Unknown"
Education,University of Southampton,2024,"Educational studies, Teacher education, Adult education, Community education, Comparative education, Continuing education, Education, Educational administration, Educational assessment, Educational counselling, Educational management, Educational planning, Educational research, Educational sociology, Educational technology, Educational welfare, Health education, Multicultural education, Special educational needs coordination, Learning, Learning disability studies, Learning support, Curriculum studies, Study skills, Research methods, Scientific research methods, Social research, Inclusive practice",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Highfield Campus, Highfield, None, Southampton, SO17 1BJ, Unknown"
Economics,Durham University,2024,Economics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Durham City, Palatine Centre, , Durham, DH1 3HP, Unknown"
Fine Art (with Integrated International Foundation Year) (Farnham),University for the Creative Arts,2024,"Arts, Fine art, Creative arts, Creative studies, Painting, Drawing, Sculpture, Visual arts, Modern art, Printmaking",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Farnham, Falkner Road, None, Farnham, GU9 7DS, Unknown"
Sociology,"Goldsmiths, University of London",2024,"Sociology, Social sciences",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Goldsmiths, University of London, None, London, SE14 6NW, Unknown"
Biological Sciences with Integrated Foundation Year,University of Brighton,2024,"Biological sciences, Applied biology, Biochemistry, Biology, Biometry, Applied botany, Botany, Plant science, Plant pathology, Plant taxonomy, Cell biology, Developmental biology, Entomology, Evolutionary biology, Field biology, Fish biology, Applied genetics, Genetics, Medical genetics, Plant genetics, Human biology, Anatomy, Biomedical sciences, Medical microbiology, Toxicology, Biomedical materials science, Hydrobiology, Freshwater biology, Marine biology, Applied microbiology, Environmental health microbiology, Bacteriology, Virology, Molecular biology, Pathobiology, Applied physiology, Comparative physiology, Human physiology, Social biology, Behavioural biology, Tissue biology, Zoology, Bioinformatics",Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Brighton, Mithras House, , Brighton, BN2 4AT, Unknown"
Public Health with Foundation Year,University of Wolverhampton,2024,"Public health, Biodiversity, Health and disease, Health care, Leadership, Environmental management, Health philosophy, Health sociology, Epidemiology, Global Health",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Wolverhampton, Admissions Unit, , Wolverhampton, WV1 1AD, Unknown"
Architecture,UCL (University College London),2024,Architecture,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , London, WC1E 6BT, Unknown"
Business Management and Early Childhood,Liverpool Hope University,2024,"Business studies, Management, Early childhood studies, Business administration, Business communication, Business economics, Business innovation, Economics, Ethics, Finance, Human resource management, Management development, Management economics, Management services, Market research, Marketing, Operations management, Organisational studies, Research methods, Small business studies, Strategic management, Child development, Child psychology, Child studies, Educational assessment, Educational psychology, Educational sociology, Educational studies, Educational welfare, Learning, Learning support, Playwork, Youth development, Youth studies, General primary (primary teaching)",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Robotics Engineering with Industrial Experience,Queen Mary University of London,2024,"Robotics, Engineering, Technology, Mechatronics",Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Mile End Road, None, London, E1 4NS, Unknown"
Children's Nursing,Bangor University,2024,"Nursing, Childrens nursing, School nursing, Primary health care, Health care",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Bangor University, None, Bangor, Gwynedd, LL57 2DG, Unknown"
Design,"Goldsmiths, University of London",2024,"Design, Design theory, Three dimensional design",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Goldsmiths, University of London, None, London, SE14 6NW, Unknown"
Nutrition,University of Exeter,2024,"Nutrition, Dietetics, Health science, Exercise science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Exeter - Exeter campuses, Northcote House, Exeter, Devon, EX4 4QJ, Unknown"
Biology,University of Leeds,2024,"Biology, Animal science, Applied biology, Biometry, Botany, Cell biology, Applied botany, Plant science, Fish biology, Genetics, Human biology, Anatomy, Science, Biological sciences, Natural science, Ecology, Behavioural ecology, Human ecology, Landscape ecology, Plant ecology, Ecosystems, Palaeoecology, Food biotechnology, Plant biotechnology",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Woodhouse Lane, None, Leeds, LS2 9JT, Unknown"
